task;learner;optimizer;constants;expression;surrogate_score
9985;rf;mlr_default;False;mlr_default;0.9815
14971;knn;mlr_default;False;mlr_default;0.8951
31;xgboost;sklearn_default;False;sklearn_default;0.9936
168335;rf;mlr_default;False;mlr_default;0.9272
3485;rpart;mlr_default;False;mlr_default;0.8553
146817;xgboost;sklearn_default;False;sklearn_default;0.9746
145681;xgboost;sklearn_default;False;sklearn_default;0.9768
168330;knn;mlr_default;False;mlr_default;0.9337
146607;rf;mlr_default;False;mlr_default;0.9322
9977;glmnet;mlr_default;False;mlr_default;0.9178
9981;knn;mlr_default;False;mlr_default;0.9261
9956;knn;mlr_default;False;mlr_default;0.8673
146825;xgboost;sklearn_default;False;sklearn_default;0.8591
9910;rpart;mlr_default;False;mlr_default;0.8469
146822;xgboost;sklearn_default;False;sklearn_default;0.9638
146821;svm;sklearn_default;False;sklearn_default;0.8884
146821;svm;mlr_default;False;mlr_default;0.8879
9964;svm;sklearn_default;False;sklearn_default;0.9923
9964;svm;mlr_default;False;mlr_default;0.9923
2073;xgboost;sklearn_default;False;sklearn_default;0.9794
14970;rf;mlr_default;False;mlr_default;0.9522
14965;rf;mlr_default;False;mlr_default;0.9343
145681;svm;sklearn_default;False;sklearn_default;0.5892
145681;svm;mlr_default;False;mlr_default;0.5892
2074;xgboost;sklearn_default;False;sklearn_default;0.9744
37;knn;mlr_default;False;mlr_default;0.9649
3907;rf;mlr_default;False;mlr_default;0.9378
168912;xgboost;sklearn_default;False;sklearn_default;0.9865
7592;glmnet;mlr_default;False;mlr_default;0.9380
3904;svm;sklearn_default;False;sklearn_default;0.5335
3904;svm;mlr_default;False;mlr_default;0.5335
3560;rf;mlr_default;False;mlr_default;0.9245
9978;svm;sklearn_default;False;sklearn_default;0.9557
9978;svm;mlr_default;False;mlr_default;0.9557
189927;xgboost;sklearn_default;False;sklearn_default;0.9651
167141;knn;mlr_default;False;mlr_default;0.8483
3549;rf;mlr_default;False;mlr_default;0.9492
3;xgboost;sklearn_default;False;sklearn_default;0.8957
167211;knn;mlr_default;False;mlr_default;0.8920
168339;knn;mlr_default;False;mlr_default;0.9228
43;glmnet;mlr_default;False;mlr_default;0.8935
9986;svm;sklearn_default;False;sklearn_default;0.9792
9986;svm;mlr_default;False;mlr_default;0.9792
14970;knn;mlr_default;False;mlr_default;0.9771
9976;knn;mlr_default;False;mlr_default;0.9962
168909;glmnet;mlr_default;False;mlr_default;0.8181
167120;glmnet;mlr_default;False;mlr_default;0.4238
168338;xgboost;sklearn_default;False;sklearn_default;0.9659
167124;rpart;mlr_default;False;mlr_default;0.6631
168336;rpart;mlr_default;False;mlr_default;0.7411
3904;rpart;mlr_default;False;mlr_default;0.8383
167211;glmnet;mlr_default;False;mlr_default;0.6776
167141;rf;mlr_default;False;mlr_default;0.9578
3893;xgboost;sklearn_default;False;sklearn_default;0.9722
168335;knn;mlr_default;False;mlr_default;0.9379
167119;rpart;mlr_default;False;mlr_default;0.5170
3;rpart;mlr_default;False;mlr_default;0.9141
168339;glmnet;mlr_default;False;mlr_default;0.8696
18;glmnet;mlr_default;False;mlr_default;0.8915
167125;rpart;mlr_default;False;mlr_default;0.9049
3907;knn;mlr_default;False;mlr_default;0.7482
146821;rpart;mlr_default;False;mlr_default;0.9195
16;svm;sklearn_default;False;sklearn_default;0.9976
16;svm;mlr_default;False;mlr_default;0.9976
9910;svm;sklearn_default;False;sklearn_default;0.9402
9910;svm;mlr_default;False;mlr_default;0.9402
43;knn;mlr_default;False;mlr_default;0.9422
146606;glmnet;mlr_default;False;mlr_default;0.8134
14969;knn;mlr_default;False;mlr_default;0.8808
219;svm;sklearn_default;False;sklearn_default;0.8266
219;svm;mlr_default;False;mlr_default;0.8238
125921;glmnet;mlr_default;False;mlr_default;0.9914
189928;svm;sklearn_default;False;sklearn_default;0.8795
189928;svm;mlr_default;False;mlr_default;0.8741
146820;knn;mlr_default;False;mlr_default;0.9307
10090;xgboost;sklearn_default;False;sklearn_default;0.9380
168335;xgboost;sklearn_default;False;sklearn_default;0.9244
9910;xgboost;sklearn_default;False;sklearn_default;0.9916
168332;rf;mlr_default;False;mlr_default;0.9982
23;knn;mlr_default;False;mlr_default;0.9454
168911;svm;sklearn_default;False;sklearn_default;0.9413
168911;svm;mlr_default;False;mlr_default;0.9294
189924;knn;mlr_default;False;mlr_default;0.7018
146195;glmnet;mlr_default;False;mlr_default;0.8563
3485;knn;mlr_default;False;mlr_default;0.9638
125921;rf;mlr_default;False;mlr_default;0.9760
9957;rf;mlr_default;False;mlr_default;0.9845
