,num.impute.selected.cpo,num.trees,replace,sample.fraction,respect.unordered.factors,min.node.size,splitrule,num.random.splits,mtry
9976.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,11.0
146195.0,impute.hist,1275.0,TRUE,0.822126,order,88.0,gini,,4.0
9910.0,impute.median,153.0,TRUE,0.916454,ignore,22.0,gini,,908.0
9964.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,42.0
37.0,impute.mean,1348.0,TRUE,0.855423,partition,3.0,gini,,3.0
10101.0,impute.mean,2941.0,TRUE,0.229725,partition,87.0,gini,,15.0
9950.0,impute.hist,1495.0,TRUE,0.992819,partition,6.0,gini,,91.0
53.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,12.0
31.0,impute.mean,511.0,TRUE,0.489966,order,25.0,gini,,9.0
14.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,57.0
9971.0,impute.mean,1348.0,TRUE,0.855423,partition,3.0,gini,,3.0
190412.0,impute.median,270.0,TRUE,0.757032,ignore,7.0,gini,,194.0
146606.0,impute.mean,911.0,TRUE,0.0438108,partition,38.0,gini,,1.0
146817.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,18.0
168908.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,164.0
189927.0,impute.hist,1275.0,TRUE,0.822126,order,88.0,gini,,4.0
3561.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,8.0
22.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,57.0
18.0,impute.mean,979.0,TRUE,0.254278,ignore,1.0,gini,,4.0
125920.0,impute.mean,1454.0,TRUE,0.756566,order,12.0,gini,,37.0
9970.0,impute.hist,213.0,TRUE,0.95829,ignore,1.0,gini,,3.0
167120.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,14.0
2079.0,impute.median,233.0,TRUE,0.530331,ignore,54.0,gini,,2.0
168330.0,impute.mean,911.0,TRUE,0.0438108,partition,38.0,gini,,1.0
145681.0,impute.hist,1480.0,TRUE,0.825672,order,14.0,gini,,24.0
168910.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,146.0
168339.0,impute.hist,1919.0,TRUE,0.945617,ignore,67.0,gini,,13.0
125921.0,impute.median,1538.0,TRUE,0.346937,ignore,25.0,gini,,4.0
23.0,impute.mean,511.0,TRUE,0.489966,order,25.0,gini,,9.0
14969.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,12.0
167121.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,44.0
168331.0,impute.median,153.0,TRUE,0.916454,ignore,22.0,gini,,462.0
2073.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,25.0
9985.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,22.0
9956.0,impute.median,388.0,TRUE,0.767445,ignore,64.0,gini,,6.0
10090.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,153.0
167124.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,44.0
168332.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,74.0
3560.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,32.0
189924.0,impute.median,233.0,TRUE,0.530331,ignore,54.0,gini,,2.0
168329.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,17.0
